POS,PLAYER,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
75,YashasviJaiswal,3,3,0,40,34,13.33,44,90.90,0,0,2,2
76,AndreRussell,10,9,0,117,25,13.00,81,144.44,0,0,9,9
77,KuldeepYadav,5,2,1,13,12,13.00,21,61.90,0,0,1,0
78,RavichandranAshwin,15,6,3,37,14*,12.33,34,108.82,0,0,3,1
79,RiyanParag,12,8,1,86,42*,12.28,77,111.68,0,0,6,3
80,ShardulThakur,9,2,1,12,11,12.00,21,57.14,0,0,0,0
81,RinkuSingh,1,1,0,11,11,11.00,11,100.00,0,0,1,0
82,MuraliVijay,3,3,0,32,21,10.66,43,74.41,0,0,4,0
83,HarshalPatel,5,2,0,21,16,10.50,24,87.50,0,0,2,0
84,ChrisJordan,9,5,2,29,13,9.66,31,93.54,0,0,2,0
85,JimmyNeesham,5,3,1,19,10*,9.50,18,105.55,0,0,0,1
86,ShreyasGopal,14,5,1,37,23*,9.25,39,94.87,0,0,3,0
87,TomBanton,2,2,0,18,10,9.00,20,90.00,0,0,1,1
88,AnkitRajpoot,6,2,1,9,7*,9.00,10,90.00,0,0,0,1
89,JaydevUnadkat,7,1,0,9,9,9.00,13,69.23,0,0,0,0
90,RashidKhan,16,7,3,35,14,8.75,30,116.66,0,0,3,2
91,ChrisMorris,9,5,1,34,25*,8.50,21,161.90,0,0,2,3
92,KarunNair,4,3,1,16,15*,8.00,14,114.28,0,0,2,0
93,SimranSingh,2,2,0,15,11,7.50,15,100.00,0,0,2,0
94,KamleshNagarkoti,10,6,3,22,8*,7.33,31,70.96,0,0,1,0
95,AnrichNortje,16,5,4,7,3*,7.00,6,116.66,0,0,0,0
96,DeepakChahar,14,3,2,7,5*,7.00,12,58.33,0,0,0,0
97,RaviBishnoi,14,3,2,7,6*,7.00,12,58.33,0,0,1,0
98,ShahbazNadeem,7,2,1,7,5,7.00,8,87.50,0,0,1,0
99,SandeepSharma,13,5,3,12,9,6.00,15,80.00,0,0,1,0
100,AndrewTye,1,1,0,6,6,6.00,6,100.00,0,0,0,1
